id,ID2,Einrichtung,Trager,Anzeigen,Typ,Schlagworte,Zielgruppe,Beratungsmoglichkeiten,Prio,Sprachen,Barrierefreiheit,Kategorie,Uber_uns,Strasse,Hausnummer,Zusatz,PLZ,Bezirk,Stadtteil,Telefonnummer,EMail,Website,c24_h_7_Tage,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Art_der_Anmeldung,Weitere_Offnungszeiten,lat,long,Ready
50,446,Evangelisches Krankenhaus Königin Elisabeth Herzberge gGmbH,v. Bodelschwinghschen Stiftungen Bethel,1,Klinik,"[""L"",1,3,5,2,7,9,12,8]",,,Niedrig,"Deutsch, Vietnamesisch, Russisch",Keine Angabe,Pflichtversorgende Klinik,"In unserer Abteilung für Psychiatrie, Psychotherapie und Psychosomatik bieten wir ein umfassendes Behandlungsangebot für psychiatrische und psychosomatische Erkrankungen. Erwachsene Patientinnen und Patienten aus dem Berliner Bezirk Lichtenberg behandeln wir notfallmäßig stationär. Geplant besteht ein (teil-)stationäres Behandlungsangebot für alle Menschen.",Herzbergstraße,79,,10365,Lichtenberg,Lichtenberg,030 54720,keh@keh-berlin.de,https://www.keh-berlin.de,ja,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,24 Stunden geöffnet,"Die Aufnahme auf Station erfolgt über unsere Aufnahmekoordination immer montags bis freitags in der Zeit von 08:00 bis 12:00 Uhr. Bitte kommen Sie persönlich für ein Vorgespräch ohne Termin in unsere Zentrale Aufnahme und Diagnostik (ZAD) im Haus 103 auf dem Krankenhausgelände. Sie benötigen für das Vorgespräch einen Krankenhauseinweisungsschein. Für eine tagesklinische Behandlung nehmen Sie bitte telefonisch Kontakt mit einer unserer Tageskliniken auf. Die Kontaktdaten finden Sie auf unserer Website. Abhängigkeitserkrankte, die sich für eine medizinisch begleitete Entgiftung interessieren, melden sich bitte montags bis freitags in der Zeit von 09:00 bis 12:00 Uhr telefonisch unter der Rufnummer 030 5472 4850.: vor Ort, telefonisch",,52.5264,13.50606,true
51,Sen045,Fachstelle für Suchtprävention Berlin,Fachstelle für Suchtprävention Berlin gGmbH,1,Beratung,"[""L"",10,11,7,9,12,8,25,20]","Angehörige, Kinder & Jugendliche",,Mittel,"Deutsch, Englisch, Spanisch",Keine Angabe,Kontakt- und Beratungsstelle,"Wir setzen uns dafür ein, Suchtmittelkonsum und riskantes Verhalten zu reduzieren. Als zentrale Kompetenzstelle entwickeln und koordinieren wir suchtpräventive Angebote in Berlin und setzen diese ebenfalls um. Gleichfalls beraten wir Fachkräfte, Erziehende, Jugendliche oder die ganze Familie bevor sich Probleme verfestigen.","Chausseestraße ",128/129,,10115,Mitte,,030 29352615,info@berlin-suchtpraevention.de,https://www.berlin-suchtpraevention.de/,nein,10:00 - 14:00,10:00 - 18:00,Geschlossen,16:00 - 19:00,09:00 - 13:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: telefonisch, per Mail","Falls Sie uns außerhalb der Öffnungszeiten erreichen, hinterlassen Sie gerne eine Nachricht. Wir melden uns dann zurück.
Außerhalb der Öffnungszeiten können Sie uns jederzeit per E-Mail kontaktieren.",52.52793,13.38605,true
52,542,FAM Alkohol- und Medikamentenberatungsstelle,FrauSuchtZukunft e.V.,1,Beratung,"[""L"",7,9,12,17,24,13]","Frauen, Divers, LSBTIQ*",,Mittel,"Deutsch, Englisch",Rollstuhlgerechte Einrichtung,Alkohol- und Medikamentenberatungsstelle,"FAM berät zu allen Fragen rund um Konsum und Abhängigkeit. Wir arbeiten mit Frauen, trans*, inter* und nicht-binären Personen jeden Alters in allen Phasen des Substanzmittelkonsums: akzeptierend, ausstiegsorientiert und abstinenzstabilisierend. Darüber hinaus bietet FAM Information, Austausch und Beratung für weibliche, trans*, inter* und nichtbinäre Angehörige und Bezugspersonen von suchtmittelgebrauchenden Menschen und für professionelle Helfer*innen freier Träger oder Institutionen. Wir beraten in den Sprachen deutsch und englisch. Gerne beraten wir auch Fachkräfte aus anderen Arbeitsfeldern der sozialen Arbeit des Bezirks Tempelhof-Schöneberg.",Alt Tempelhof,28,Dachgeschoss,12103,Tempelhof-Schöneberg,Tempelhof,030 7828989,fam@frausuchtzukunft.de,https://frausuchtzukunft.de/einrichtungen/fam/,nein,10:00 - 16:00,10:00 - 12:00 und 15:00 - 16:00,12:00 - 16:00,10:00 - 16:00,10:00 - 12:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: telefonisch, per Mail","Telefonische Sprechzeiten: Montag: 10-16 Uhr, Dienstag: 10-12 und 15-16 Uhr, Mittwoch: 12-16 Uhr, Donnerstag: 10-16 Uhr, Freitag: 10-12 Uhr",52.46617,13.38388,true
53,138,Familienplanungszentrum BALANCE,Familienplanungszentrum Berlin e. V.,1,Beratung,"[""L"",6,15,14,24,13]","Divers, LSBTIQ*",,Niedrig,"Deutsch, Arabisch, Englisch, Französisch, Polnisch, Russisch, Farsi, Wolof, Vietnamesisch, Tigrinya und weitere Sprachen auf Anfrage","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",IGPP Handlungsfeld Besondere Bedarfslagen,"Das Berliner Familienplanungszentrum BALANCE (kurz FPZ) bietet eine effektive Gesundheitsversorgung für jede Person, unabhängig von Alter, Herkunft, religiöser Ausrichtung, Status, Behinderung, Geschlechtsidentität und sexueller Orientierung. Das FPZ ist eine Einrichtung, in der sowohl Beratung als auch medizinische Hilfe angeboten wird.",Mauritius-Kirch-Straße,3,,10365,Lichtenberg,Lichtenberg,030 23623680,balance@fpz-berlin.de,https://www.fpz-berlin.de,nein,09:00 - 14:00,11:00 - 18:00,15:00 - 19:00,11:00 - 18:00,09:00 - 14:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch",,52.51227,13.47784,true
54,273,Familienzelt,Selbstbestimmte Geburt und Familie e.V.,1,Beratung,"[""L"",14,25]",Angehörige,,Hoch,"Deutsch, Englisch",Keine Angabe,IGPP Handlungsfeld Besondere Bedarfslagen,"Das Familienzelt ist eine Einrichtung mit Beratung, Gruppen und Kursen in der Schwangerschaft und nach der Geburt eines Kindes.",Schönfließer Straße,17,,10439,Pankow,Prenzlauer Berg,030 3223071,info@familienzelt.berlin,https://www.familienzelt.berlin,nein,10:00 - 13:00,13:00 - 17:00,10:00 - 13:00,Geschlossen,10:00 - 13:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, per Mail",,52.55155,13.40803,true
55,54,Feministisches Frauengesundheitszentrum,FFGZ e.V.,1,Beratung,"[""L"",15,16,23]",,,Hoch,"Deutsch, Englisch",Keine Angabe,IGPP Handlungsfeld Besondere Bedarfslagen,"Wir bieten unabhängige Informationen, Orientierungshilfen und Unterstützungsangebote rund um Frauengesundheit. Zu  frauengesundheitspezifischen Themen wie z.B. gynäkologischen Beschwerden wird ganzheitlich und umfassend beraten. Außerdem ist das FFGZ eine Beratungsstelle für Frauen mit gesundheitlichen Folgen nach sexueller Gewalt in Kindheit und Jugend.",Bamberger Straße,51,,10777,Tempelhof-Schöneberg,Schöneberg,030 2139597,info@ffgz.de,https://www.ffgz.de,nein,10:00 - 13:00,10:00 - 13:00,Geschlossen,10:00 - 13:00 und 16:00 - 18:00,10:00 - 13:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: vor Ort, telefonisch, per Mail, Online",,52.49506,13.33745,true
56,42,"Frauen*NachtCafé - Für Frauen, Trans und Inter",Wildwasser e.V.,1,Beratung,"[""L"",1,3,5,23,17,24,13]","Frauen, Divers, LSBTIQ*",,Mittel,"Deutsch, Englisch, Italenisch, Albanisch, Französisch",Rollstuhlgerechter Zugang,IGPP Handlungsfeld Besondere Bedarfslagen,"Das Frauen*NachtCafé ist eine nächtliche Krisenanlaufstelle für Frauen, Lesben, Inter, Trans, Nichtbinäre und Agender. Angeboten wird eine selbstbestimmte und machtkritische Krisenintervention durch individuelle persönliche oder telefonische Beratung. Außerdem wird Unterstützung bei der Vorbeugung von Krisen durch die Nutzung des offenen Cafébereichs und des Selbsthilfeansatzes angeboten. Das NachtCafé arbeitet nach dem Betroffenenkontrollierten Ansatz, stabilisierend und psychiatriepräventiv. Die Angebote sind kostenlos, anonym und vertraulich.",Mareschstraße,14,,12055,Neukölln,Neukölln,030 61620970,frauennachtcafe@wildwasser-berlin.de,https://www.wildwasser-berlin.de,nein,Geschlossen,Geschlossen,18:00 - 00:00,18:00 - 22:00,18:00 - 00:00,18:00 - 00:00,Geschlossen,Keine Anmeldung nötig.,Donnerstag 14:00 - 18:00 offene Bürozeit.,52.47473,13.45207,true
57,621,Frauenkrisentelefon e. V.,Frauenkrisentelefon e. V.,1,Beratung,"[""L"",6,5,3,17,22]","Frauen, Migration & Flucht",,Hoch,"Dari, Deutsch, Englisch",Keine Angabe,Sonstiges,Unser Projekt bietet zusätzlich psychosoziale Beratung für geflüchtete Frauen an.,Mariannenstr.,6,,10997,Friedrichshain-Kreuzberg,Kreuzberg,0157 31130964,frauenkrisentelefon@ymail.com,http://www.frauenkrisentelefon.de,nein,10:00 - 12:00,10:00 - 12:00,15:00 - 17:00,10:00 - 12:00,19:00 - 21:00,17:00 - 19:00,17:00 - 19:00,Bitte Termin vereinbaren: telefonisch,Terminvereinbahrung nur per SMS oder Whatsapp. Beratungszeiten nach Absprache,52.5009077,13.4232743,true
58,Sen080,Frauenladen,FrauSuchtZukunft e.V.,1,Beratung,"[""L"",7,9,12,8,17,24,13]","Frauen, Divers, LSBTIQ*",,Niedrig,Deutsch,Keine Angabe,IGPP Handlungsfeld Drogen/Sucht,,"Nazarethkirchstraße ",42,,13347,Wedding,,030 4552093,frauenladen@frausuchtzukunft.de,https://frausuchtzukunft.de/einrichtungen/frauenladen/,nein,11:00 - 14:00,Geschlossen,15:00 - 18:00,12:00 - 15:00,Geschlossen,Geschlossen,Geschlossen,Keine Anmeldung nötig.,,52.54922,13.36135,true
59,506,Frauentreff Olga,Notdienst für Suchtmittelgefährdete und -abhängige Berlin e.V.,1,Beratung,"[""L"",9,15,23,17,13,24]","Frauen, LSBTIQ*, Divers",,Mittel,"Deutsch, Bulgarisch, Englisch, Russisch, Ungarisch",Keine Angabe,Kontakt- und Beratungsstelle,"Der Frauentreff Olga ist eine Anlauf- und Beratungsstelle für Sexarbeiterinnen und Zwangsprostituierten an der Kurfürstenstraße. Grundversorgung gehört ebenso zu unserem Angebot wie medizinische Hilfen und muttersprachliche Sucht- und Sozialberatung auf Ungarisch, Bulgarisch, Russisch, Englisch und Deutsch.",Kurfürstenstraße,40,,10785,Mitte,Tiergarten,030 2628959,olga@notdienstberlin.de,https://drogennotdienst.de/nur-fuer-frauen/frauentreff-olga/,nein,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,Geschlossen,Keine Anmeldung nötig.,,52.50061,13.3602,true
60,Sen093,Früh geborgen - Ganzheitliche integrative Begleitung von Familien mit Frühgeborenen,WEG DER MITTE gem. e.V.,1,Beratung,"[""L"",14]",,,Hoch,"Deutsch, Englisch",Keine Angabe,IGPP Handlungsfeld Besondere Bedarfslagen,"Berlinweites Angebot einer kostenfreien und antragslosen Soforthilfe für Familien mit frühgeborenen Kindern. ",Ahornstraße,18,,14163,Steglitz-Zehlendorf,,030 8141068,"fruehgeborgen@wegdermitte.de ",https://www.wegdermitte.de/index.php?mid=88&uid=226&sid=543,nein,"09:00 - 12:30
13:30 - 15:00","09:00 - 12:30
13:30 - 15:00","09:00 - 12:30
13:30 - 15:00","09:00 - 12:30
13:30 - 15:00","09:00 - 12:30
13:30 - 15:00",Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, per Mail",,52.43379,13.2524,true
61,557,Gesundheitszentrum für Flüchtlinge GZF,PIBB / Xenion,1,Beratung,"[""L"",1,3,5,6,23,22]",Migration & Flucht,,Mittel,"Deutsch,Arabisch,Bosnisch,Serbisch,Kroatisch,Bulgarisch,Englisch,Französisch,Kurdisch,Polnisch,Rumänisch,Russisch,Türkisch,Weitere Sprachen mit Sprachmittlung",Keine Angabe,Sonstige,"Zielgruppe des GZF sind traumatisierte und/oder psychisch erkrankte Menschen, die nach Flucht aus ihren Heimatländern in Deutschland Asyl beantragt haben. Menschen, die politischer Verfolgung oder Bürgerkriegsbedrohungen ausgesetzt waren bzw. denen aufgrund der Genfer Flüchtlingskonvention Schutz zu gewähren ist.  Das GZF ermöglicht für diese Menschen eine psychiatrische und psychotherapeutische Behandlung, die sich an einem ganzheitlich ausgerichteten Krankheitsverständnis und an Kriterien kultursensibler Behandlung orientiert. Dabei soll die Zusammenarbeit mit allen Einrichtungen der psychiatrischen Regelversorgung im integrierenden Sinne befördert werden.",Willdenowstraße,38,,12203,Steglitz-Zehlendorf,Steglitz,030 85960070,info@gzf-berlin.org,https://www.gzf-berlin.org,nein,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,10:00 - 14:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail, Online",,52.45356352,13.30038566,true
62,Sen087,Guidance- Suchtberatung für Geflüchtete in Berlin,Notdienst für Suchtmittelgefährdete und -abhängige Berlin e. V.,1,Beratung,"[""L"",7,9,12,22]",Migration & Flucht,,Niedrig,"Deutsch, Arabisch, Persisch, Englisch, Türkisch, Griechisch, Usbekisch, Russisch, weitere Sprachen ",Rollstuhlgerechter Zugang,IGPP Handlungsfeld Drogen/Sucht,"Guidance berät und vermittelt in gesundheits- und suchtspezifische Hilfsangebote in Berlin. Wir unterstützen Minderjährige, Jugendliche und Erwachsene sowie Angehörige, Fachkolleg*innen und Multiplikator*innen rund am das Thema Migration und Drogenkonsum. Gespräche können auf Wunsch anonym erfolgen. Wir schulen und beraten Fachkolleg*innen und Multiplikator*innen hinsichtlich des Umgangs mit Drogen / Konsument*innen.",Genthiner Straße,48,,10785,Mitte,,"030 233240-200, 030 233240-201",guidance@notdienstberlin.de,https://drogennotdienst.de/angebote/beratung-und-reha/guidance/,nein,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,08:30 - 21:00,14:00 - 18:00,14:00 - 21:00,"Bitte Termin vereinbaren: telefonisch, per Mail","Arabische, Persische, Russische Sprechzeiten: Montag bis Freitag je 10 – 16:30 Uhr",52.50174,13.35826,true
63,Sen101,"Guttempler Seniorenkreis ""Lichtblick""",Guttempler Landesverband Berlin-Brandenburg e.V.,1,Selbsthilfe,"[""L"",7,9,12]",,,Mittel,Deutsch,"Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",Selbsthilfegruppe,"Wir spielen, singen, basteln, lesen vor, führen Gespräche, machen Ausflüge, Gymnastik, Tanz und vieles mehr.",Wildenbruchstraße,80,Guttemplerhaus,12045,Neukölln,,"030 3236286, 0171 3836425",seniorenkreislichtblick@guttempler-berlin.com,https://www.guttempler.de/landesverband-berlin-und-brandenburg/,nein,11:00 - 14:30,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Keine Anmeldung nötig.,An den gesetzlichen Feiertagen finden in der Regel keine Treffen statt.,52.48423350476987,13.44317812626283,true
65,590,HaLT - Programm Berlin,Caritasverband Berlin & Stiftung SPI,1,Beratung,"[""L"",7,9,12,8,20,25]","Kinder & Jugendliche, Angehörige",,Mittel,"Deutsch, Englisch",Rollstuhlgerechte Einrichtung,Alkohol- und Medikamentenberatungsstelle,"Um junge Menschen nach riskantem Alkohol- oder Mischkonsum zeitnah zu erreichen, bietet das Team von HaLT eine anonyme Beratung noch direkt im Krankenhaus an. Den Charakter dieser aufsuchenden Arbeit stellt HaLT auch Einrichtungen der Jugendhilfe, Justiz oder Schulen zur Verfügung.  Im Rahmen der Beratung wird jungen Konsument/innen frühzeitig Unterstützung und Orientierung in der Auseinandersetzung mit dem eigenen Konsum angeboten. Das Ziel der Beratung ist es, den riskanten Konsumgewohnheiten präventiv zu begegnen, um neben möglichen Suchtentwicklungen auch psychischen, physischen und sozialen Beeinträchtigungen entgegenzuwirken.",Große Hamburger Straße,18,"2. Hinterhof, 2. Etage",10115,Mitte,Mitte,0177 6820910,info@halt-berlin.de,https://www.halt-berlin.de,nein,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,"Eine vorherige Anmeldung ist gewünscht.: Telefonische Terminvergabe, Terminvergabe per Mail",Telefonisch über die Hotline tagsüber 365 Tage im Jahr,52.5246347,13.39912159,true
67,434,HAUSOTTERSTRASSE,KARUNA e. V.,1,Beratung,"[""L"",7,9,12,8,20]",Kinder & Jugendliche,,Mittel,Deutsch,Keine Angabe,IGPP Handlungsfeld Drogen/Sucht,"Die Einrichtung HAUSOTTERSTRASSE ist ein Projekt des Therapieverbundes von KARUNA e.V. - Zukunft für Kinder und Jugendliche in Not. Wir arbeiten mit missbräuchlich Drogen konsumierenden bzw. drogenabhängigen Jugendlichen, mit und ohne komorbider psychischer Störung vom 13. bis zum 21. Lebensjahr.",Hausottertraße,49,,13409,Reinickendorf,Reinickendorf,030 4991888-00,hausotter@karuna-ev.de,https://www.jugendhilfe-hausotterstrasse.de/weg-zu-uns/,nein,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, per Mail",,52.56877,13.37819,true
69,611,Integrative Suchtberatung Königsberger 11,Caritasverband für das Erzbistum Berlin e.V.,1,Beratung,"[""L"",7,1,9,12,8,3]",,,Mittel,"Deutsch, Englisch, Türkisch, Arabisch, Farsi",Rollstuhlgerechter Zugang,Sonstiges,"Wir bieten unsere professionelle Hilfe für Menschen an, die Probleme und Fragen rund um den Konsum von legalen und illegalen Suchtstoffen haben: Beratung (Präsenz, Telefon, Online), Frühintervention, Vermittlung, Betreutes Einzelwohnen, aufsuchende Arbeit in Haftanstalten/ Flüchtlingswohnheimen,Ambulante Nachsorge. Die Beratung ist kostenlos und überkonfessionell. Unsere Beratung ist akzeptierend und niedrigschwellig ausgelegt und kann bei Bedarf auch anonym erfolgen.",Königsberger Straße,11,,12200,Steglitz-Zehlendorf,,030 6663358,sucht-koenigsberger@caritas-berlin.de,https://www.caritas-berlin.de/beratungundhilfe/berlin/sucht/beratung-und-therapie,nein,09:00 - 17:00,09:00 - 18:00,09:00 - 17:00,09:00 - 17:00,09:00 - 15:00,Geschlossen,Geschlossen,Keine Anmeldung nötig.,"Weitere Öffnungszeiten: Offene Sprechstunde: Montag von 10:00-12:00 Uhr; Dienstag von 16:00-18:00 Uhr, Donnerstag von 13:00-15:00 Uihr",52.43041,13.32005,true
70,Sen050,Integrative Suchtberatung Mitte,Caritasverband  für das Erzbistum Berlin e.V.,1,Beratung,"[""L"",7,9,12,8,25]",Angehörige,,Mittel,"Deutsch, Englisch","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",IGPP Handlungsfeld Drogen/Sucht,"Beratung – auch online - Krisenintervention; Vorbereitung auf Therapie; Vermittlung in Entgiftung, Entwöhnung, Selbsthilfegruppen, weiterführende Hilfen; Angehörigenberatung; Beratung in stationären Einrichtungen und im Strafvollzug; Verschiedene Gruppenangebote zur Stabilisierung und Motivation; Frühinternvention. Weitere Angebote am Standort: Ambulante Entwöhnungstherapie und Nachsorge; Betreutes Einzelwohnen; Café für Menschen mit einer Suchterkrankung und deren Angehörige; Streetwork.",Große Hamburger Straße,18,,10115,Mitte,,030 66633400,sucht-gr.hamburger@caritas-berlin.de,https://www.caritas-berlin.de/beratungundhilfe/berlin/sucht/beratung-und-therapie,nein,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,12:00 - 15:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: telefonisch, Online","Offene Sprechstunde: Mittwoch 15:00-18:30 Uhr.
",52.52459,13.39908,true
71,539,Integrierte Suchtberatung Lichtenberg,Stiftung SPI,1,Beratung,"[""L"",4,10,11,7,9,12,8]",,,Hoch,"Deutsch, Englisch, Französisch, Arabisch","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",Alkohol- und Medikamentenberatungsstelle,Mit Kooperationspartner:innen gewährleistet die Suchtberatungsstelle die Versorgung der Bürger:innen Lichtenbergs mit Suchthilfeangeboten. Die Ziele der akzeptierenden Arbeit reichen von Überlebenssicherung über Konsumreduktion bis hin zur Entwicklung einer zufriedenen Abstinenz. Die Arbeit mit Angehörigen hat eine Stärkung und Entlastung zum Ziel; darauf aufbauend werden co- abhängige Verhaltensweisen identifiziert und Veränderungen angeregt.,Möllendorffstraße,59,,10367,Lichtenberg,,030 5568040,suchtberatung-lichtenberg@stiftung-spi.de,https://www.stiftung-spi.de/service/projekte/detail/suchtberatung-lichtenberg,nein,09:00 - 15:00,14:00 - 18:00,09:00 - 15:00,09:00 - 15:00,Geschlossen,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch","Mo., Do. 14:00 – 15:00 Uhr können Sie ohne Voranmeldung ein Erstgespräch vor Ort wahrnehmen. Di. 14:00 – 15:00 Uhr ist zudem unter 0162 2806063 ein telefonisches Erstgespräch ohne Voranmeldung möglich.",52.52683,13.47804,true
72,630,Integriertes Gesundheitszentrum IGZ Marzahn-Hellersdorf,Deutsches Rotes Kreuz KV Berlin Nordost e.V.,1,Beratung,"[""L"",1,6,4,16,14,3]",,,Hoch,"Deutsch, Englisch, Sonstige","Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung",Sonstiges,"Ganzheitliche Beratung zu allen Fragen rund um die seelische und körperliche Gesundheit. Psychosoziale Beratung, Vermittlung, Begleitung.",Neue Grottkauer Str.,3,"Forum Kienberg, Treppenhaus 1",12619,Marzahn-Hellersdorf,Kaulsdorf,030 5057-6459,igz@drk-berlin-nordost.de,https://www.igz-marzahn-hellersdorf.de,nein,09:00 - 14:00,09:00 - 14:00,09:00 - 17:30,09:00 - 14:00,09:00 - 11:00,Geschlossen,Geschlossen,Keine Anmeldung nötig.,,52.5288505,13.5946006,true
73,614,Inter*Trans*Beratung queer leben,Schwulenberatung Berlin,1,Beratung,"[""L"",1,3,5,6,24,13,20,25]","Divers, LSBTIQ*, Kinder & Jugendliche, Angehörige",,Mittel,"Deutsch, Arabisch, Englisch, Russisch, Persisch, Weitere Sprachen mit Sprachmittlung",Rollstuhlgerechter Zugang,Kontakt-und Beratungsstelle,"Die Inter*Trans*Beratung queer leben berät trans*, inter* und nicht-binäre Menschen sowie deren Angehörige. Themen in der Beratung können alle Fragen rund um Geschlechtsidentität, soziale, rechtliche und medizinische Transition, psychische Belastung, Beziehungsfragen und viele weitere sein.",Hermannstraße,256-258,3. Stock (mit Fahrstuhl),12049,Neukölln,Neukölln,030 446688111,beratung@queer-leben.de,https://schwulenberatungberlin.de/angebote/queer-leben/,nein,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: vor Ort, telefonisch, per Mail",,52.485707,13.42445356,true
74,123,KBS Kamenzer Damm,Reha-Steglitz gGmbH,1,Beratung,"[""L"",1,3,5,6,2]",,,Mittel,"Deutsch, Englisch","Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung",Kontakt- und Beratungsstelle,"Unsere KBS ist ein niedrigschwelliger, anonymer Anlaufpunkt für Menschen, die psychisch belastet oder einsam sind und Kontakte oder Beschäftigung suchen. Sie bietet die Möglichkeit zur  Begegnung, individuellen Beratung und Teilnahme an Gruppenangeboten; darüber hinaus gibt es regelmäßige Ausflüge und Aktivitäten sowie Angebote zur Selbsthilfe.",Kamenzer Damm,1,Tageszentrum,12249,Steglitz-Zehlendorf,Lankwitz,030 221916021,tz.2@reha-steglitz.de,https://reha-steglitz.de/tageszentrum/kontakt-und-beratungsstelle.html,nein,09:00 - 15:00,12:00 - 15:00,Geschlossen,12:00 - 15:00,10:00 - 15:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: vor Ort, telefonisch, per Mail",Außerhalb der Öffnungszeiten finden Ausflüge und einmal monatlich ein Samstagsfrühstück statt.,52.43365,13.35359,true
75,587,"KBS prenzlkomm mit Café ""Kuchenschwarm bis Stullenliebe""",prenzlkomm gGmbH,1,Beratung,"[""L"",1,3,5,6,4]",,,Mittel,Deutsch,Keine Angabe,Kontakt- und Beratungsstelle,"In unserer KBS können Menschen mit seelischen und sozialen Problemlagen Unterstützung finden - in Form von Beratungen und Mitmachangeboten. Schwerpunkte in der Beratung sind die Unterstützung bei Behördenangelegenheiten, Begleitung in kritischen Situationen, Vermittlung von Hilfen bei psychischen Erkrankungen. Beratungstermine werden kurzfristig vergeben, so dass Unterstützung in akuten Belastungssituationen möglich ist. In unserem Café können sie Kontakt aufnehmen und entspannt unser Frühstücks -und Mittagsangebot genießen.",Erich Weinert Straße,37,Ecke Scherenbergstr.,10439,Pankow,Prenzlauer Berg,030 4441664,kbs@prenzlkomm.de,https://www.prenzlkomm.de,nein,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail",Das Cafe´ kann für z.B. Feierlichkeiten außerhalb der Öffnungszeiten gebucht werden.,52.55100739,13.41988321,true
76,342,KIBO Ambulante Drogentherapie,KOKON Verein für ambulante Drogentherapie e.V.,1,Beratung,"[""L"",9,12,8]",,,Niedrig,"Deutsch, Englisch",Rollstuhlgerechter Zugang,IGPP Handlungsfeld Drogen/Sucht,"Wir unterstützen Menschen mit Drogenproblemen. Spezialisiert sind wir auf dämpfende Drogen, wie Cannabis, Opioide, Heroin, Alkohol, Tilidin, Xanax, Benzodiazepine, GHB, NPS, Ketamin. Unser ambulantes Therapieprogramm bietet Ihnen Schutz und eine fördernde Umgebung. Sie können in Ihrem Umfeld und in Ihrem Alltag bleiben. Wenn Sie Ihr Substitutionsmittel unter fachlicher Begleitung abdosieren möchten, können Sie dies bei uns in der ambulanten medizinischen Rehabilitation durchführen.",Obentrautstraße,57,,10963,Friedrichshain-Kreuzberg,Kreuzberg,030 21021760,kibo@kokon.de,https://www.kokon.de,nein,10:00 - 21:00,10:00 - 17:00,10:00 - 17:00,10:00 - 21:00,10:00 - 15:00,Geschlossen,Geschlossen,"Termine können vereinbart werden: vor Ort, telefonisch, per Mail",,52.49691,13.38206,true
77,Sen027,Kinder- und Jugendpsychiatrischer Dienst Charlottenburg-Wilmersdorf,Bezirksamt Charlottenburg-Wilmersdorf,1,Amt,"[""L"",1,3,5,6,2,4,10,11,7,9,12,8,15,16,14,20]",Kinder & Jugendliche,,Niedrig,Deutsch,Rollstuhlgerechter Zugang,Kinder- und Jugendpsychiatrischer Dienst (KJPD),"Die Kinder- und Jugendpsychiatrischen Dienste bieten Hilfe an bei Problemen des Zusammenlebens mit Kindern und Jugendlichen, insbesondere bei Erziehungsproblemen und Entwicklungsauffälligkeiten. Sie führen auch ärztliche und psychologische Diagnostik durch und unterstützen in Krisen.",Hohenzollerndamm,177,,10713,Charlottenburg-Wilmersdorf,Wilmersdorf,030 9029-15536,,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/gesundheit/kinder-und-jugendpsychiatrischer-dienst/,nein,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,09:00 - 14:00,Geschlossen,Geschlossen,"Bitte Termin vereinbaren: vor Ort, telefonisch",,52.48937,13.31224,true
