Anzeigen;ID;Einrichtung;Prio;Schlagworte;Zielgruppe;Träger;Kategorie;Beratungsmöglichkeiten;Sprachen;Barrierefreiheit;Über uns;Strasse;Hausnummer;Zusatz;PLZ;Bezirk;Stadtteil;Telefonnummer;EMail;Website;24 h/7 Tage;Montag;Dienstag;Mittwoch;Donnerstag;Freitag;Samstag;Sonntag;Art der Anmeldung;Weitere Öffnungszeiten;lat;long
0;333;Die Nähwerkstatt;mittel;Angst & Zwänge, Einsamkeit, Beziehung zu anderen Menschen, Stimmen hören, Drogen;0;Reha-Steglitz gemeinnützige GmbH;Psychiatrischer Zuverdienst;Vor Ort in der Einrichtung;Deutsch, Englisch, Türkisch;Rollstuhlgerechte Einrichtung;Die Nähwerkstatt bietet für psychisch erkrankte Menschen eine an die Fähigkeiten und Ressourcen anpassbare Beschäftigung. Es geht um emotionale Stabilisierung, soziale Kontakte, Steigerung von Selbstbewusstsein, Erlernen und Vollziehen von handwerklichen Tätigkeiten, Training der Leistungsfähigkeit, Erlangen einer Orientierung. Die Nähwerkstatt bietet geschützte Arbeitsplätze, im Einzelfall auch zur Vorbereitung auf eine berufliche Qualifizierung oder in Richtung eines Arbeitsmarktes.;Bergstraße;1;0;12169;Steglitz-Zehlendorf;Steglitz;030 319805160;naehwerkstatt@reha-steglitz.de;https://www.naehwerkstatt-berlin.de;nein;12:45 - 16:30;08:45 - 16:30;08:45 - 14:30;08:45 - 16:30;10:45 - 14:30;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail;;52.4578;13.3265
0;Sen086;die tageswerkstatt – Beschäftigung für Berliner* mit Suchtproblemen;hoch;Alkohol, Drogen, Medikamente, Kiffen;0;Notdienst für Suchtmittelgefährdete und -abhängige Berlin e. V.;IGPP Handlungsfeld Drogen/Sucht;0;Deutsch, Englisch;0;Wir bieten zielgerichtete Maßnahmen in den Bereichen Beschäftigung, Qualifizierung und Tagesstruktur in verschiedenen Arbeitsbereichen - Holz, Kreativ, Küche, Garten – an. In Verbindung mit individuellen Arbeitszeiten und unter Berücksichtigung von persönlichen Bedürfnissen und Fähigkeiten sorgen wir als multiprofessionelles Team gemeinsam für eine schrittweise Stabilisierung und die Heranführung an ein geregeltes (Arbeits-)Leben.;Kärntener Straße;21-22;0;10827;Tempelhof-Schöneberg;0;030 233240240;tawe@notdienstberlin.de;https://drogennotdienst.de/angebote/arbeit-beschaeftigung/tageswerkstatt/;nein;08:30 - 15:30;08:30 - 15:30;08:30 - 15:30;08:30 - 15:30;08:30 - 15:30;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.47758;13.34822
1;458;DMSG LV Berlin e.V. Beratung, Unterstützung und Selbsthilfe für Menschen mit Multipler Sklerose;mittel;Angst & Zwänge, Traurigkeit & Verzweiflung, Beziehung zu anderen Menschen, Medikamente, Körperliche Erkrankungen, Angehörige;Angehörige;Deutsche Multiple Sklerose Gesellschaft Landesverband Berlin e.V.;IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung, Rückrufservice, Videoberatung, Online Chat;Deutsch, Englisch, Weitere Sprachen;Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung;Menschen mit Multipler Sklerose, sowie deren Angehörige und Helfer erhalten Unterstützung bei der Bewältigung des Lebens mit der Diagnose Multiple Sklerose. Durch: Beratung durch Sozialpädagog*innen, Psycholog*innen und selbst von MS Betroffene zu allen Themen zum Alltag und Leben mit Multipler Sklerose. Durch Informationsveranstaltungen und die Weitergabe von Informationsmaterialien. Durch: Gruppenangebote für Austausch und gegenseitige Stärkung. Ergänzend dazu bieten wir sozialpädagogische Teilhabeassistenz für Menschen mit Multipler Sklerose an.;Aachener Straße;16;0;10713;Charlottenburg-Wilmersdorf;Wilmersdorf;030 3130647;info@dmsg-berlin.de;https://www.dmsg-berlin.de/;nein;10:00 - 16:00;10:00 - 16:00;10:00 - 16:00;10:00 - 16:00;10:00 - 15:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Außerhalb der genannten Erreichbarkeitszeiten ist eine Beratung nach vorheriger Terminvereinbarung auch zu früherer oder spätere Zeit möglich.;52.4794;13.31861
1;413;Drogen- und Suchtberatung Marzahn-Hellersdorf;mittel;Alkohol, Drogen, Medikamente, Kiffen;0;vista gGmbH;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Englisch, Russisch;0;"In unserem Zentrum für integrative Suchthilfe informieren und beraten wir Sie zu Konsum von psychoaktiven Substanzen (Drogen, Alkohol, Medikamente), zu Sucht, Entzug, Therapie und Nachsorge, zu Substitution, Safer Use, Infektionsprophylaxe und vieles mehr.
Wollen Sie Ihren Konsum reduzieren oder beenden? Wir unterstützen und begleiten Sie auf Ihrem Weg zu mehr Konsumkompetenz, um das Risiko gesundheitsschädigender Folgen zu reduzieren. Bei Bedarf vermitteln wir Sie weiter. 
Zu unseren Angeboten gehören auch die Sprechstunde für Partydrogenkonsument*innen sowie Selbsthilfegruppen und angeleitete Gruppen.";Allee der Kosmonauten;47;im Gesundheitszentrum Springpfuhl;12681;Marzahn-Hellersdorf;Marzahn;030 290278181;marzahn@vistaberlin.de;https://vistaberlin.de/einrichtungen/drogen-und-suchtberatung-marzahn-hellersdorf/;nein;10:30 - 17:00;10:30 - 17:00;13:30 - 18:00;10:30 - 17:00;Geschlossen;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Offene Sprechstunde: Di 11:00 bis 13:00 Uhr und Mi 15:00 bis 17:00 Uhr. Partydrogensprechstunde: Mi 15:00 bis 17:00 Uhr.;52.52612;13.53434
1;410;Drogen- und Suchtberatung Misfit;mittel;Alkohol, Drogen, Medikamente, Kiffen, Angehörige;Angehörige;vista gGmbH;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Arabisch, Englisch, Polnisch, Russisch, Türkisch;0;"In unserem Zentrum für integrative Suchthilfe informieren und beraten wir Sie: Konsum von psychoaktiven Substanzen (Drogen, Alkohol, Medikamente), zu Sucht, Entzug, Therapie und Nachsorge, zu Substitution, Safer Use, Infektionsprophylaxe und vieles mehr.
Wollen Sie Ihren Konsum reduzieren oder beenden? Wir unterstützen und begleiten Sie auf Ihrem Weg zu mehr Konsumkompetenz, um das Risiko gesundheitsschädigender Folgen zu reduzieren. Bei Bedarf vermitteln wir Sie weiter. 
Zu unseren Angeboten gehören auch die Sprechstunden für Jugendliche, Angehörige, Partydrogenkonsument*innen sowie Selbsthilfegruppen und angeleitete Gruppen.";Muskauer Straße;24;Hof, Seitenflügel;10997;Friedrichshain-Kreuzberg;Kreuzberg;030 6981400;misfit@vistaberlin.de;https://vistaberlin.de/einrichtungen/drogen-und-suchtberatung-misfit/;nein;10:00 - 17:00;13:00 - 17:00;10:00 - 17:00;10:00 - 17:00;10:00 - 16:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Offene Sprechstunde: Mo 15:00 bis 16:30 Uhr und Mi 11:00 bis 12:30 Uhr. Partydrogensprechstunde: 15:00 bis 16:30 Uhr.;52.50309;13.42726
1;452;Drogen- und Suchtberatung Treptow-Köpenick;mittel;Alkohol, Drogen, Medikamente, Kiffen, Angehörige;Angehörige;vista gGmbH;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung;Deutsch, Englisch;0;"Information und Beratung: Wirkung und Risiken von psychoaktiven Substanzen, Wege zu mehr Konsumkompetenz (Programme wie Kontrolliertes Trinken). Beratung für Partydrogenkonsument*innen, Beratung für Angehörige.
Vermittlung in weiterführende Angebote, in Selbsthilfe, Entzugsmöglichkeiten und Therapieformen sowie Nachsorge.";Müggelheimer Straße;55;0;12555;Treptow-Köpenick;Köpenick;030 6167419-00;treptow@vistaberlin.de;https://vistaberlin.de/einrichtungen/drogen-und-suchtberatung-treptow-koepenick/;nein;10:30 - 16:30;10:30 - 16:30;14:00 - 18:00;10:30 - 16:30;Geschlossen;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail;Offene Sprechstunde: Mi 15:00 bis 17 Uhr. Partydrogensprechstunde:  Mi 15:00 bis 17 Uhr.;52.44355;13.58089
1;Sen044;Drogenberatung Nord;hoch;Alkohol, Drogen, Medikamente, Kiffen;0;Stiftung SPI;IGPP Handlungsfeld Drogen/Sucht;0;Deutsch;0;0;Alt-Reinickendorf;23-24;0;13407;Reinickendorf;0;030 4938088;drogenhilfe-nord@stiftung-spi.de ;https://www.stiftung-spi.de/service/projekte/detail/drogenhilfe-nord;nein;10:00 - 17:00;10:00 - 17:00;10:00 - 17:00;10:00 - 17:00;10:00 - 14:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch;Bitte melden Sie sich telefonisch in der Zeit von Mo. bis Fr. 10:00–16:00 Uhr an.;52.57541;13.35195
1;75;Drogenkonsummobil + Kontaktmobil Anita-Berber-Park;mittel;Drogen;0;Fixpunkt e. V.;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße);Deutsch, Englisch;Keine Angabe;Im Drogenkonsummobil können selbst mitgebrachte Opioide, Kokain oder Amphetamin unter pflegerischer Aufsicht konsumiert werden (Spritzen, Inhalieren, Sniefen). Im Kontakt- und Beratungsmobil bekommen Drogenabhängige hygienische Konsumutensilien und bekommen sozialarbeiterische und pflegerische Beratung, Information und Hilfen zur Überlebenssicherung, bei Sucht und anderen Gesundheitsproblemen.;Hermannstraße;79;auf dem Gehweg vor dem Eingang zum Park, Nähe U-Bahn-Ausgang;12049;Neukölln;Neukölln;0170 7948743;neukoelln@fixpunkt.org;https://www.fixpunkt.org;nein;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;Geschlossen;Geschlossen;Keine Anmeldung nötig. ;Öffnungszeiten sind veränderlich. Bitte auf Website überprüfen https://www.fixpunkt.org/drogenkonsummobile.;52.472682;13.428329
1;72;Drogenkonsummobil + Kontaktmobil Stuttgarter Platz;mittel;Drogen;0;Fixpunkt e. V.;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße);Deutsch, Englisch, Russisch;Keine Angabe;Im Drogenkonsummobil können selbst mitgebrachte Opioide, Kokain oder Amphetamin unter pflegerischer Aufsicht konsumiert werden (Spritzen, Inhalieren, Sniefen). Im Kontakt- und Beratungsmobil bekommen Drogenabhängige hygienische Konsumutensilien und bekommen sozialarbeiterische und pflegerische Beratung, Information und Hilfen zur Überlebenssicherung, bei Sucht und anderen Gesundheitsproblemen.;Stuttgarter Platz, Lewishamstraße;0;auf dem Gehweg an der Grünanlage;10627;Charlottenburg-Wilmersdorf;Charlottenburg;0170 7948745;cw@fixpunkt.org;https://www.fixpunkt.org;nein;13:00 - 18:00;13:00 - 18:00;13:00 - 18:00;13:00 - 18:00;13:00 - 18:00;Geschlossen;Geschlossen;Keine Anmeldung nötig. ;Öffnungszeiten sind veränderlich. Bitte auf Website überprüfen https://www.fixpunkt.org/drogenkonsummobile.;52.50532;13.30334
1;78;Drogenkonsummobil + Kontaktmobil U Eisenacher Straße;mittel;Drogen;0;Fixpunkt e. V.;IGPP Handlungsfeld Drogen/Sucht;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße);Deutsch, Englisch, Russisch;Keine Angabe;"Im Drogenkonsummobil können selbst mitgebrachte Opioide, Kokain oder Amphetamin unter pflegerischer Aufsicht konsumiert werden (Spritzen, Sniefen). Im Kontakt- und Beratungsmobil bekommen Drogenabhängige hygienische Konsumutensilien und
bekommen sozialarbeiterische und pflegerische Beratung, Information und Hilfen zur Überlebenssicherung, bei Sucht und anderen Gesundheitsproblemen.";Grunewaldstraße;77a;0;10823;Tempelhof-Schöneberg;Schöneberg;0170 7948743;ts@fixpunkt.org;https://www.fixpunkt.org;nein;Geschlossen;10:00 - 13:00;10:00 - 13:00;10:00 - 13:00;10:00 - 13:00;Geschlossen;Geschlossen;Keine Anmeldung nötig. ;Öffnungszeiten sind veränderlich. Bitte auf Website überprüfen https://www.fixpunkt.org/drogenkonsummobile.;52.48953;13.3503
1;306;Drogennotdienst;hoch;Alkohol, Drogen, Kiffen, Sexuell übertragbare Infektionen, Divers, LSBTIQ*, Angehörige;Divers, LSBTIQ*, Angehörige;Notdienst für Suchtmittelgefährdete und -abhängige e.V.;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung, Außerhalb der Einrichtung (z.B. Wohnung, Straße), Telefonberatung, Rückrufservice, Videoberatung, Online Chat;Deutsch, Arabisch, Englisch, Türkisch, Dari, Farsi;Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung;Der Drogennotdienst berät alle Menschen aus Tempelhof-Schöneberg und ganz Berlin zu allen Fragen rund um Sucht und Drogen. Man kann an 365 Tagen im Jahr mit oder ohne Termin zu uns kommen. Wir führen Einzelgespräche, bieten aber auch Gruppen an. Wir vermitteln bei Bedarf in weiterführende Hilfen. Wir beraten auch mit Sprachmittlung. Zu uns können auch Angehörige kommen.;Bülowstraße;106;0;10783;Tempelhof-Schöneberg;Schöneberg;030 233240200;dnd@notdienstberlin.de;https://drogennotdienst.de/;nein;08:30 - 21:00;08:30 - 21:00;08:30 - 21:00;08:30 - 21:00;08:30 - 21:00;14:00 - 21:00;14:00 - 21:00;Keine Anmeldung nötig. ;An Feiertagen 14:00 - 21:00 Uhr.;52.4996;13.35525
1;474;Epilepsie-Beratungsstelle Berlin;mittel;Angst & Zwänge, Traurigkeit & Verzweiflung, Beziehung zu anderen Menschen, Medikamente, Körperliche Erkrankungen, Angehörige;Angehörige;Landesverband Epilepsie Berlin-Brandenburg e.V.;IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Telefonberatung, Rückrufservice, Videoberatung;Deutsch, Englisch;Rollstuhlrechter Zugang, Rollstuhlgerechte Einrichtung;Beratung und Hilfe für Menschen mit Epilepsie. Auch Angehörige, Freunde und Arbeitgeber werden beraten.;Wexstraße;2;4. Etage;10825;Tempelhof-Schöneberg;Schöneberg;030 3470-3483;kontakt@epilepsie-beratung-berlin.de;https://www.epilepsie-beratung-berlin.de/;nein;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;09:00 - 17:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;Termine außerhalb der Öffnungszeiten können vereinbart werden.;52.47896;13.34272
0;446;Evangelisches Krankenhaus Königin Elisabeth Herzberge gGmbH;niedrig;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Beziehung zu anderen Menschen, Stimmen hören, Essverhalten, Glücksspiel, Gaming, Alkohol, Drogen, Medikamente, Kiffen, Sexuell übertragbare Infektionen, Körperliche Erkrankungen, Schwangerschaft & Geburt;0;v. Bodelschwinghschen Stiftungen Bethel;Klinik;Vor Ort in der Einrichtung;Deutsch, Vietnamesisch;0;In unserer Abteilung für Psychiatrie, Psychotherapie und Psychosomatik bieten wir ein umfassendes Behandlungsangebot für psychiatrische und psychosomatische Erkrankungen. Erwachsene Patientinnen und Patienten aus dem Berliner Bezirk Lichtenberg behandeln wir notfallmäßig stationär. Geplant besteht ein (teil-)stationäres und in besonderen Fällen ambulantes Behandlungsangebot für alle Menschen.;Herzbergstraße;79;0;10365;Lichtenberg;Lichtenberg;030 54720;keh@keh-berlin.de;https://www.keh-berlin.de;ja;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;24 Stunden geöffnet;Termine können vereinbart werden: vor Ort, telefonisch;;52.5264;13.50606
1;Sen045;Fachstelle für Suchtprävention Berlin;mittel;Glücksspiel, Gaming, Alkohol, Drogen, Medikamente, Kiffen, Angehörige, Kinder & Jugendliche;Angehörige, Kinder & Jugendliche;Fachstelle für Suchtprävention Berlin gGmbH;Kontakt- und Beratungsstelle;0;Deutsch, Englisch, Spanisch;0;Wir setzen uns dafür ein, Suchtmittelkonsum und riskantes Verhalten zu reduzieren. Als zentrale Kompetenzstelle entwickeln und koordinieren wir suchtpräventive Angebote in Berlin und setzen diese ebenfalls um. Gleichfalls beraten wir Fachkräfte, Erziehende, Jugendliche oder die ganze Familie bevor sich Probleme verfestigen.;Chausseestraße ;128/129;0;10115;Mitte;0;030 29352615;info@berlin-suchtpraevention.de;https://www.berlin-suchtpraevention.de/;nein;10:00 - 14:00;10:00 - 18:00;Geschlossen;16:00 - 19:00;09:00 - 13:00;Geschlossen;Geschlossen;Termine können vereinbart werden: telefonisch, per Mail;"Falls Sie uns außerhalb der Öffnungszeiten erreichen, hinterlassen Sie gerne eine Nachricht. Wir melden uns dann zurück.
Außerhalb der Öffnungszeiten können Sie uns jederzeit per E-Mail kontaktieren.";52.52793;13.38605
1;529;FAM Alkohol- und Medikamentenberatungsstelle;mittel;Alkohol, Drogen, Medikamente, Frauen, Divers, LSBTIQ*;Frauen, Divers, LSBTIQ*;FrauSuchtZukunft e.V.;Alkohol- und Medikamentenberatungsstelle;Vor Ort in der Einrichtung, Telefonberatung, Videoberatung;Deutsch, Englisch;Rollstuhlgerechte Einrichtung;FAM berät zu allen Fragen rund um Konsum und Abhängigkeit. Wir arbeiten mit Frauen, trans*, inter* und nicht-binären Personen jeden Alters in allen Phasen des Substanzmittelkonsums: akzeptierend, ausstiegsorientiert und abstinenzstabilisierend. Darüber hinaus bietet FAM Information, Austausch und Beratung für weibliche, trans*, inter* und nichtbinäre Angehörige und Bezugspersonen von suchtmittelgebrauchenden Menschen und für professionelle Helfer*innen freier Träger oder Institutionen. Wir beraten in den Sprachen deutsch und englisch. Gerne beraten wir auch Fachkräfte aus anderen Arbeitsfeldern der sozialen Arbeit des Bezirks Tempelhof-Schöneberg.;Alt Tempelhof;28;Dachgeschoss;12103;Tempelhof-Schöneberg;Tempelhof;030 7828989;fam@frausuchtzukunft.de;https://frausuchtzukunft.de/einrichtungen/fam/;nein;14:00 - 16:00;Geschlossen;Geschlossen;Geschlossen;10:00 - 12:00;Geschlossen;Geschlossen;Termine können vereinbart werden: telefonisch, per Mail;Telefonische Sprechzeiten: Montag: 10-16 Uhr, Dienstag: 10-12 und 15-16 Uhr, Mittwoch: 12-16 Uhr, Donnerstag: 10-16 Uhr, Freitag: 10-12 Uhr;52.46617;13.38388
1;138;Familienplanungszentrum BALANCE;niedrig;Beziehung zu anderen Menschen, Sexuell übertragbare Infektionen, Schwangerschaft & Geburt, Divers, LSBTIQ*;Divers, LSBTIQ*;Familienplanungszentrum Berlin e. V.;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung, Videoberatung;Deutsch, Arabisch, Englisch, Französisch, Polnisch, Russisch, Farsi, Wolof, Vietnamesisch, Tigrinya und weitere Sprachen auf Anfrage;Rollstuhlgerechter Zugang, Rollstuhlgerechte Einrichtung;Das Berliner Familienplanungszentrum BALANCE (kurz FPZ) bietet eine effektive Gesundheitsversorgung für jede Person, unabhängig von Alter, Herkunft, religiöser Ausrichtung, Status, Behinderung, Geschlechtsidentität und sexueller Orientierung. Das FPZ ist eine Einrichtung, in der sowohl Beratung als auch medizinische Hilfe angeboten wird.;Mauritius-Kirch-Straße;3;0;10365;Lichtenberg;Lichtenberg;030 23623680;balance@fpz-berlin.de;https://www.fpz-berlin.de;nein;09:00 - 14:00;11:00 - 18:00;15:00 - 19:00;11:00 - 18:00;09:00 - 14:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch;;52.51227;13.47784
1;273;Familienzelt;hoch;Schwangerschaft & Geburt, Angehörige;Angehörige;Selbstbestimmte Geburt und Familie e.V.;IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Telefonberatung, Videoberatung;Deutsch, Englisch;Keine Angabe;Das Familienzelt ist eine Einrichtung mit Beratung, Gruppen und Kursen in der Schwangerschaft und nach der Geburt eines Kindes.;Schönfließer Straße;17;0;10439;Pankow;Prenzlauer Berg;030 3223071;info@familienzelt.berlin;https://www.familienzelt.berlin;nein;10:00 - 13:00;13:00 - 17:00;10:00 - 13:00;Geschlossen;10:00 - 13:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.55155;13.40803
1;54;Feministisches Frauengesundheitszentrum;hoch;Sexuell übertragbare Infektionen, Körperliche Erkrankungen, Gewalterfahrung;0;FFGZ e.V.;IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Telefonberatung, Videoberatung;Deutsch, Englisch;Keine Angabe;Wir bieten unabhängige Informationen, Orientierungshilfen und Unterstützungsangebote rund um Frauengesundheit. Zu  frauengesundheitspezifischen Themen wie z.B. gynäkologischen Beschwerden wird ganzheitlich und umfassend beraten. Außerdem ist das FFGZ eine Beratungsstelle für Frauen mit gesundheitlichen Folgen nach sexueller Gewalt in Kindheit und Jugend.;Bamberger Straße;51;0;10777;Tempelhof-Schöneberg;Schöneberg;030 2139597;info@ffgz.de;https://www.ffgz.de;nein;10:00 - 13:00;10:00 - 13:00;Geschlossen;"10:00 - 13:00; 16:00 - 18:00";10:00 - 13:00;Geschlossen;Geschlossen;Termine können vereinbart werden: vor Ort, telefonisch, per Mail, Online;;52.49506;13.33745
1;42;Frauen*NachtCafé - Für Frauen, Trans und Inter;mittel;Angst & Zwänge, Traurigkeit & Verzweiflung, Einsamkeit, Gewalterfahrung, Frauen, Divers, LSBTIQ*;Frauen, Divers, LSBTIQ*;Wildwasser e.V.;IGPP Handlungsfeld Besondere Bedarfslagen;Vor Ort in der Einrichtung, Telefonberatung;Deutsch, Englisch, Italenisch, Albanisch, Französisch;Rollstuhlgerechter Zugang;Das Frauen*NachtCafé ist eine nächtliche Krisenanlaufstelle für Frauen, Lesben, Inter, Trans, Nichtbinäre und Agender. Angeboten wird eine selbstbestimmte und machtkritische Krisenintervention durch individuelle persönliche oder telefonische Beratung. Außerdem wird Unterstützung bei der Vorbeugung von Krisen durch die Nutzung des offenen Cafébereichs und des Selbsthilfeansatzes angeboten. Das NachtCafé arbeitet nach dem Betroffenenkontrollierten Ansatz, stabilisierend und psychiatriepräventiv. Die Angebote sind kostenlos, anonym und vertraulich.;Mareschstraße;14;0;12055;Neukölln;Neukölln;030 61620970;frauennachtcafe@wildwasser-berlin.de;https://www.wildwasser-berlin.de;nein;Geschlossen;Geschlossen;18:00 - 00:00;18:00 - 22:00;18:00 - 00:00;18:00 - 00:00;Geschlossen;Keine Anmeldung nötig. ;Donnerstag 14:00 - 18:00 offene Bürozeit.;52.47473;13.45207
1;Sen080;Frauenladen;niedrig;Alkohol, Drogen, Medikamente, Kiffen, Frauen, Divers, LSBTIQ*;Frauen, Divers, LSBTIQ*;FrauSuchtZukunft e.V.;IGPP Handlungsfeld Drogen/Sucht;0;Deutsch;0;0;Nazarethkirchstraße ;42;0;13347;Wedding;0;030 4552093;frauenladen@frausuchtzukunft.de;https://frausuchtzukunft.de/einrichtungen/frauenladen/;nein;11:00 - 14:00;Geschlossen;15:00 - 18:00;12:00 - 15:00;Geschlossen;Geschlossen;Geschlossen;Keine Anmeldung nötig. ;;52.54922;13.36135
1;506;Frauentreff Olga;mittel;Drogen, Sexuell übertragbare Infektionen, Gewalterfahrung, Frauen, LSBTIQ*, Divers;Frauen, LSBTIQ*, Divers;Notdienst für Suchtmittelgefährdete und -abhängige Berlin e.V.;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung;Deutsch, Bulgarisch, Englisch, Russisch, Ungarisch;0;Der Frauentreff Olga ist eine Anlauf- und Beratungsstelle für Sexarbeiterinnen und Zwangsprostituierten an der Kurfürstenstraße. Grundversorgung gehört ebenso zu unserem Angebot wie medizinische Hilfen und muttersprachliche Sucht- und Sozialberatung auf Ungarisch, Bulgarisch, Russisch, Englisch und Deutsch.;Kurfürstenstr.;40;0;10785;Mitte;Tiergarten;030 2628959;olga@notdienstberlin.de;https://drogennotdienst.de/nur-fuer-frauen/frauentreff-olga/;nein;14:00 - 20:00;14:00 - 20:00;14:00 - 20:00;14:00 - 20:00;14:00 - 20:00;14:00 - 20:00;Geschlossen;Keine Anmeldung nötig. Online;;52.50061;13.3602
1;Sen093;Früh geborgen - Ganzheitliche integrative Begleitung von Familien mit Frühgeborenen;hoch;Schwangerschaft & Geburt, Frauen, Divers, LSBTIQ*;Frauen, Divers, LSBTIQ*;WEG DER MITTE gem. e.V.;IGPP Handlungsfeld Besondere Bedarfslagen;0;Deutsch, Englisch;0;0;Ahornstraße;18;0;14163;Steglitz-Zehlendorf;0;030 8141068;fruehgeborgen@wegdermitte.de ;https://www.wegdermitte.de/index.php?mid=88&uid=226&sid=543;nein;"09:00 - 12:30; 13:30 - 15:00";"09:00 - 12:30; 13:30 - 15:00";"09:00 - 12:30; 13:30 - 15:00";"09:00 - 12:30; 13:30 - 15:00";"09:30 - 12:30; 13:30 - 15:00";Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.43379;13.2524
1;557;Gesundheitszentrum für Flüchtlinge GZF;mittel;Angst & Zwänge,Traurigkeit & Verzweiflung,Einsamkeit,Beziehung zu anderen Menschen,Gewalterfahrung, Menschen mit Migrationshintergrund;Menschen mit Migrationshintergrund;PIBB / Xenion;Kontakt- und Beratungsstelle;Vor Ort in der Einrichtung,Telefonberatung,Videoberatung;Deutsch,Arabisch,Bosnisch,Serbisch,Kroatisch,Bulgarisch,Englisch,Französisch,Kurdisch,Polnisch,Rumänisch,Russisch,Türkisch,Weitere Sprachen mit Sprachmittlung;0;Zielgruppe des GZF sind traumatisierte und/oder psychisch erkrankte Menschen, die nach Flucht aus ihren Heimatländern in Deutschland Asyl beantragt haben. Menschen, die politischer Verfolgung oder Bürgerkriegsbedrohungen ausgesetzt waren bzw. denen aufgrund der Genfer Flüchtlingskonvention Schutz zu gewähren ist.  Das GZF ermöglicht für diese Menschen eine psychiatrische und psychotherapeutische Behandlung, die sich an einem ganzheitlich ausgerichteten Krankheitsverständnis und an Kriterien kultursensibler Behandlung orientiert. Dabei soll die Zusammenarbeit mit allen Einrichtungen der psychiatrischen Regelversorgung im integrierenden Sinne befördert werden.;Willdenowstr.;38;0;12203;Steglitz-Zehlendorf;Steglitz;030 85960070;info@gzf-berlin.org;https://www.gzf-berlin.org;nein;10:00 - 14:00;10:00 - 14:00;10:00 - 14:00;10:00 - 14:00;10:00 - 14:00;Geschlossen;Geschlossen;Bitte Termin vereinbaren: vor Ort, telefonisch, per Mail, Online;;52.45356352;13.30038566
1;Sen087;Guidance- Suchtberatung für Geflüchtete in Berlin;niedrig;Alkohol, Drogen, Medikamente, Kiffen, Menschen mit Migrationshintergrund;Menschen mit Migrationshintergrund;Notdienst für Suchtmittelgefährdete und -abhängige Berlin e. V.;IGPP Handlungsfeld Drogen/Sucht;0;Deutsch, Arabisch, Persisch, Englisch, Türkisch, Griechisch, Usbekisch, weitere Sprachen ;0;0;Genthiner Straße;48;0;10785;Mitte;0;030 233240-200, 030 233240-201;guidance@notdienstberlin.de;https://drogennotdienst.de/angebote/beratung-und-reha/guidance/;nein;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Geschlossen;Bitte Termin vereinbaren: telefonisch, per Mail;;52.50174;13.35826
